time,close,high,low,open,volumefrom,volumeto
2023-03-03 04:00:00,22394.38,22402.45,22301.37,22348.17,2194.59,49019593.12
2023-03-03 05:00:00,22358.51,22421.4,22349.87,22394.38,1904.66,42638442.67
2023-03-03 06:00:00,22392.05,22411.82,22344.79,22358.51,1232.03,27577314.98
2023-03-03 07:00:00,22374.33,22409.88,22349.91,22392.05,1436.81,32152906.25
2023-03-03 08:00:00,22441.15,22453.56,22371.93,22374.33,1181.77,26467240.24
2023-03-03 09:00:00,22377.23,22478.81,22365.89,22441.15,1411.13,31621620.8
2023-03-03 10:00:00,22363.62,22396.66,22356.28,22377.23,900.84,20150745.09
2023-03-03 11:00:00,22353.64,22372.1,22326.85,22363.62,1016.6,22723968.74
2023-03-03 12:00:00,22354.46,22373.95,22335.29,22353.64,1938.48,43321603.88
2023-03-03 13:00:00,22412.67,22422.63,22216.58,22354.46,3823.22,85377318.81
2023-03-03 14:00:00,22389.82,22473.49,22372.88,22412.67,2949.09,66087341.01
2023-03-03 15:00:00,22340.74,22415.64,22286.76,22389.82,3184.66,71181941.49
2023-03-03 16:00:00,22381.94,22384.6,22329.66,22340.74,1347.71,30127063.38
2023-03-03 17:00:00,22420.46,22446.93,22379.32,22381.94,1390.2,31163600.71
2023-03-03 18:00:00,22318.9,22423.17,22269.28,22420.46,2558.2,57157624.06
2023-03-03 19:00:00,22363.32,22392.62,22301.87,22318.9,1338.58,29902807.8
2023-03-03 20:00:00,22310.61,22379.47,22290.72,22363.32,1266.93,28301956.07
2023-03-03 21:00:00,22245.08,22316.44,22169.76,22310.61,3029.71,67429614.73
2023-03-03 22:00:00,22329.37,22338.33,22236.64,22245.08,901.31,20090445.9
2023-03-03 23:00:00,22361.45,22378.77,22323.48,22329.37,1167.9,26105132.8
2023-03-04 00:00:00,22375.48,22393.89,22338.42,22361.45,840.98,18807722.51
2023-03-04 01:00:00,22349.19,22395.8,22347.09,22375.48,645.98,14453267.92
2023-03-04 02:00:00,22350.69,22361.11,22342.05,22349.19,298.33,6667930.62
2023-03-04 03:00:00,22355.39,22357.81,22334.97,22350.69,336.93,7529494.77
2023-03-04 04:00:00,22346.4,22371.92,22337.39,22355.39,406.91,9094724.99
2023-03-04 05:00:00,22333.21,22351.19,22285.52,22346.4,438.39,9787088.66
2023-03-04 06:00:00,22375.55,22410.72,22325.62,22333.21,742.15,16611567.25
2023-03-04 07:00:00,22367.93,22381.99,22361.38,22375.55,398.72,8920571.45
2023-03-04 08:00:00,22348.85,22369.06,22342.13,22367.93,319.78,7148146.0
2023-03-04 09:00:00,22357.79,22378.69,22347.54,22348.85,336.91,7534134.67
2023-03-04 10:00:00,22342.96,22364.31,22335.71,22357.79,217.76,4866988.76
2023-03-04 11:00:00,22354.87,22362.26,22341.95,22342.96,231.74,5180054.23
2023-03-04 12:00:00,22393.14,22398.65,22348.46,22354.87,435.63,9746183.01
2023-03-04 13:00:00,22366.85,22393.62,22366.39,22393.14,268.13,5998895.87
2023-03-04 14:00:00,22350.81,22371.55,22342.93,22366.85,387.25,8656757.53
2023-03-04 15:00:00,22324.08,22357.27,22322.06,22350.81,585.33,13073832.34
